调仓日,证券代码
2019/6/28,2319.HK
2019/6/28,1071.HK
2019/6/28,1898.HK
2019/6/28,2386.HK
2019/6/28,1766.HK
2019/6/28,0914.HK
2019/6/28,0857.HK
2019/6/28,1313.HK
2019/6/28,3988.HK
2019/6/28,3323.HK
2019/6/28,0546.HK
2019/6/28,2233.HK
2019/6/28,1918.HK
2019/6/28,6818.HK
2019/6/28,0123.HK
2019/6/28,3328.HK
2019/6/28,6098.HK
2019/6/28,1658.HK
2019/6/28,0998.HK
2019/6/28,0323.HK
2019/6/28,0291.HK
2019/6/28,0388.HK
2019/6/28,1193.HK
2019/6/28,1883.HK
2019/6/28,0272.HK
2019/6/28,0386.HK
2019/6/28,1157.HK
2019/7/31,2601.HK
2019/7/31,1918.HK
2019/7/31,0883.HK
2019/7/31,1898.HK
2019/7/31,3988.HK
2019/7/31,2319.HK
2019/7/31,0358.HK
2019/7/31,2338.HK
2019/7/31,0272.HK
2019/7/31,1052.HK
2019/7/31,0493.HK
2019/7/31,2588.HK
2019/7/31,6818.HK
2019/7/31,2386.HK
2019/7/31,3301.HK
2019/7/31,1193.HK
2019/7/31,6098.HK
2019/7/31,0267.HK
2019/7/31,0014.HK
2019/7/31,0291.HK
2019/7/31,1883.HK
2019/7/31,2380.HK
2019/7/31,0392.HK
2019/7/31,0388.HK
2019/7/31,1113.HK
2019/7/31,1313.HK
2019/7/31,1816.HK
2019/7/31,0345.HK
2019/7/31,1038.HK
2019/7/31,3998.HK
2019/8/30,1071.HK
2019/8/30,0960.HK
2019/8/30,0272.HK
2019/8/30,6098.HK
2019/8/30,2588.HK
2019/8/30,0548.HK
2019/8/30,1898.HK
2019/8/30,0883.HK
2019/8/30,2331.HK
2019/8/30,1816.HK
2019/8/30,0535.HK
2019/8/30,1398.HK
2019/8/30,0392.HK
2019/8/30,1128.HK
2019/8/30,0358.HK
2019/8/30,2338.HK
2019/8/30,6818.HK
2019/8/30,0857.HK
2019/8/30,0728.HK
2019/8/30,3328.HK
2019/8/30,1157.HK
2019/8/30,0151.HK
2019/8/30,1918.HK
2019/8/30,0323.HK
2019/8/30,3883.HK
2019/8/30,2318.HK
2019/8/30,0998.HK
2019/8/30,2233.HK
2019/8/30,6169.HK
2019/8/30,0958.HK
2019/9/26,2628.HK
2019/9/26,2331.HK
2019/9/26,2588.HK
2019/9/26,1919.HK
2019/9/26,1816.HK
2019/9/26,1052.HK
2019/9/26,1308.HK
2019/9/26,0168.HK
2019/9/26,6818.HK
2019/9/26,0762.HK
2019/9/26,0291.HK
2019/9/26,3360.HK
2019/9/26,1898.HK
2019/9/26,1508.HK
2019/9/26,3618.HK
2019/9/26,0551.HK
2019/9/26,0384.HK
2019/9/26,1157.HK
2019/9/26,1071.HK
2019/9/26,1658.HK
2019/9/26,1513.HK
2019/9/26,1339.HK
2019/9/26,2318.HK
